"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"687","2013-10-01 00:09:30","2013-10-01 00:20:57","517","Pershing Square S","40.75149263","-73.97798848","475","E 16 St & Irving Pl","40.73524276","-73.98758561","14920","Subscriber","1981","1"
"483","2013-10-01 00:09:49","2013-10-01 00:17:52","415","Pearl St & Hanover Square","40.7047177","-74.00926027","308","St James Pl & Oliver St","40.71307916","-73.99851193","15197","Subscriber","1974","1"
"805","2013-10-01 00:09:49","2013-10-01 00:23:14","490","8 Ave & W 33 St","40.751551","-73.993934","507","E 25 St & 2 Ave","40.73912601","-73.97973776","18336","Subscriber","1987","2"
"1633","2013-10-01 00:10:05","2013-10-01 00:37:18","363","West Thames St","40.70834698","-74.01713445","383","Greenwich Ave & Charles St","40.735238","-74.000271","14972","Subscriber","1985","2"
"735","2013-10-01 00:10:22","2013-10-01 00:22:37","448","W 37 St & 10 Ave","40.75660359","-73.9979009","367","E 53 St & Lexington Ave","40.75828065","-73.97069431","17236","Subscriber","1982","1"
"974","2013-10-01 00:10:44","2013-10-01 00:26:58","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","17373","Subscriber","1986","1"
"1399","2013-10-01 00:10:48","2013-10-01 00:34:07","422","W 59 St & 10 Ave","40.770513","-73.988038","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","18365","Subscriber","1985","1"
"1342","2013-10-01 00:10:53","2013-10-01 00:33:15","404","9 Ave & W 14 St","40.7405826","-74.00550867","295","Pike St & E Broadway","40.71406667","-73.99293911","17049","Subscriber","1988","1"
"1680","2013-10-01 00:11:12","2013-10-01 00:39:12","293","Lafayette St & E 8 St","40.73028666","-73.9907647","341","Stanton St & Mangin St","40.71782143","-73.97628939","17331","Subscriber","1989","1"
"790","2013-10-01 00:11:16","2013-10-01 00:24:26","334","W 20 St & 7 Ave","40.74238787","-73.99726235","439","E 4 St & 2 Ave","40.7262807","-73.98978041","14828","Subscriber","1960","1"
"534","2013-10-01 00:11:21","2013-10-01 00:20:15","318","E 43 St & Vanderbilt Ave","40.75320159","-73.9779874","402","Broadway & E 22 St","40.7403432","-73.98955109","19210","Subscriber","1987","1"
"384","2013-10-01 00:11:25","2013-10-01 00:17:49","483","E 12 St & 3 Ave","40.73223272","-73.98889957","459","W 20 St & 11 Ave","40.746745","-74.007756","16526","Subscriber","1965","1"
"521","2013-10-01 00:11:27","2013-10-01 00:20:08","317","E 6 St & Avenue B","40.72453734","-73.98185424","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","17214","Subscriber","1983","1"
"587","2013-10-01 00:11:37","2013-10-01 00:21:24","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","2012","E 27 St & 1 Ave","40.739445","-73.976806","17508","Subscriber","1971","2"
"535","2013-10-01 00:11:39","2013-10-01 00:20:34","466","W 25 St & 6 Ave","40.74395411","-73.99144871","167","E 39 St & 3 Ave","40.7489006","-73.97604882","16044","Subscriber","1955","1"
"366","2013-10-01 00:11:41","2013-10-01 00:17:47","474","5 Ave & E 29 St","40.7451677","-73.98683077","453","W 22 St & 8 Ave","40.74475148","-73.99915362","18416","Subscriber","1981","1"
"803","2013-10-01 00:11:49","2013-10-01 00:25:12","521","8 Ave & W 31 St","40.75044999","-73.99481051","2003","1 Ave & E 18 St","40.73416059","-73.98024289","15139","Subscriber","1985","1"
"279","2013-10-01 00:11:58","2013-10-01 00:16:37","435","W 21 St & 6 Ave","40.74173969","-73.99415556","462","W 22 St & 10 Ave","40.74691959","-74.00451887","15057","Subscriber","1983","1"
"194","2013-10-01 00:12:01","2013-10-01 00:15:15","337","Old Slip & Front St","40.7037992","-74.00838676","376","John St & William St","40.70862144","-74.00722156","19938","Subscriber","1984","1"
"702","2013-10-01 00:12:10","2013-10-01 00:23:52","465","Broadway & W 41 St","40.75513557","-73.98658032","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","15755","Subscriber","1984","2"
"1854","2013-10-01 00:12:21","2013-10-01 00:43:15","500","Broadway & W 51 St","40.76228826","-73.98336183","264","Maiden Ln & Pearl St","40.70706456","-74.00731853","20260","Subscriber","1984","1"
"262","2013-10-01 00:12:21","2013-10-01 00:16:43","458","11 Ave & W 27 St","40.751396","-74.005226","521","8 Ave & W 31 St","40.75044999","-73.99481051","19935","Subscriber","1983","1"
"850","2013-10-01 00:12:29","2013-10-01 00:26:39","447","8 Ave & W 52 St","40.76370739","-73.9851615","536","1 Ave & E 30 St","40.74144387","-73.97536082","17846","Subscriber","1969","1"
"376","2013-10-01 00:12:36","2013-10-01 00:18:52","306","Cliff St & Fulton St","40.70823502","-74.00530063","534","Water - Whitehall Plaza","40.70255065","-74.0127234","17597","Subscriber","1955","1"
"724","2013-10-01 00:12:49","2013-10-01 00:24:53","160","E 37 St & Lexington Ave","40.748238","-73.978311","305","E 58 St & 3 Ave","40.76095756","-73.96724467","20071","Subscriber","1976","1"
"1444","2013-10-01 00:13:05","2013-10-01 00:37:09","325","E 19 St & 3 Ave","40.73624527","-73.98473765","526","E 33 St & 5 Ave","40.74765947","-73.98490707","17964","Subscriber","1982","1"
"809","2013-10-01 00:13:18","2013-10-01 00:26:47","482","W 15 St & 7 Ave","40.73935542","-73.99931783","441","E 52 St & 2 Ave","40.756014","-73.967416","20625","Subscriber","1981","1"
"1234","2013-10-01 00:13:30","2013-10-01 00:34:04","347","W Houston St & Hudson St","40.72873888","-74.00748842","513","W 56 St & 10 Ave","40.768254","-73.988639","19224","Subscriber","1989","1"
"216","2013-10-01 00:13:54","2013-10-01 00:17:30","529","W 42 St & 8 Ave","40.7575699","-73.99098507","478","11 Ave & W 41 St","40.76030096","-73.99884222","15965","Customer",\N,"0"
"540","2013-10-01 00:14:03","2013-10-01 00:23:03","300","Shevchenko Pl & E 6 St","40.728145","-73.990214","2003","1 Ave & E 18 St","40.73416059","-73.98024289","17019","Subscriber","1985","2"
"312","2013-10-01 00:14:26","2013-10-01 00:19:38","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","18170","Subscriber","1973","1"
"801","2013-10-01 00:14:35","2013-10-01 00:27:56","116","W 17 St & 8 Ave","40.74177603","-74.00149746","330","Reade St & Broadway","40.71450451","-74.00562789","19254","Subscriber","1983","1"
"1643","2013-10-01 00:14:49","2013-10-01 00:42:12","536","1 Ave & E 30 St","40.74144387","-73.97536082","296","Division St & Bowery","40.71413089","-73.9970468","16716","Customer",\N,"0"
"1289","2013-10-01 00:14:53","2013-10-01 00:36:22","441","E 52 St & 2 Ave","40.756014","-73.967416","2003","1 Ave & E 18 St","40.73416059","-73.98024289","19708","Subscriber","1959","1"
"128","2013-10-01 00:14:58","2013-10-01 00:17:06","383","Greenwich Ave & Charles St","40.735238","-74.000271","345","W 13 St & 6 Ave","40.73649403","-73.99704374","17569","Subscriber","1989","1"
"461","2013-10-01 00:15:06","2013-10-01 00:22:47","379","W 31 St & 7 Ave","40.749156","-73.9916","528","2 Ave & E 31 St","40.74290902","-73.97706058","17386","Subscriber","1986","1"
"200","2013-10-01 00:15:13","2013-10-01 00:18:33","507","E 25 St & 2 Ave","40.73912601","-73.97973776","476","E 31 St & 3 Ave","40.74394314","-73.97966069","16385","Subscriber","1988","1"
"170","2013-10-01 00:15:24","2013-10-01 00:18:14","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","294","Washington Square E","40.73049393","-73.9957214","19804","Subscriber","1986","2"
"1283","2013-10-01 00:15:26","2013-10-01 00:36:49","422","W 59 St & 10 Ave","40.770513","-73.988038","521","8 Ave & W 31 St","40.75044999","-73.99481051","15811","Customer",\N,"0"
"907","2013-10-01 00:15:27","2013-10-01 00:30:34","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","308","St James Pl & Oliver St","40.71307916","-73.99851193","18060","Subscriber","1985","2"
"588","2013-10-01 00:15:36","2013-10-01 00:25:24","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","325","E 19 St & 3 Ave","40.73624527","-73.98473765","16800","Subscriber","1978","1"
"1336","2013-10-01 00:15:36","2013-10-01 00:37:52","326","E 11 St & 1 Ave","40.72953837","-73.98426726","368","Carmine St & 6 Ave","40.73038599","-74.00214988","19752","Subscriber","1984","1"
"150","2013-10-01 00:15:40","2013-10-01 00:18:10","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","294","Washington Square E","40.73049393","-73.9957214","15303","Subscriber","1965","1"
"550","2013-10-01 00:15:41","2013-10-01 00:24:51","458","11 Ave & W 27 St","40.751396","-74.005226","382","University Pl & E 14 St","40.73492695","-73.99200509","19930","Subscriber","1984","1"
"640","2013-10-01 00:16:05","2013-10-01 00:26:45","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","16992","Subscriber","1986","2"
"1218","2013-10-01 00:16:12","2013-10-01 00:36:30","422","W 59 St & 10 Ave","40.770513","-73.988038","521","8 Ave & W 31 St","40.75044999","-73.99481051","17972","Subscriber","1992","1"
"1244","2013-10-01 00:16:22","2013-10-01 00:37:06","422","W 59 St & 10 Ave","40.770513","-73.988038","521","8 Ave & W 31 St","40.75044999","-73.99481051","18245","Customer",\N,"0"
"390","2013-10-01 00:16:24","2013-10-01 00:22:54","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","391","Clark St & Henry St","40.69760127","-73.99344559","19531","Subscriber","1990","1"
"646","2013-10-01 00:16:24","2013-10-01 00:27:10","223","W 13 St & 7 Ave","40.73781509","-73.99994661","251","Mott St & Prince St","40.72317958","-73.99480012","17262","Subscriber","1966","1"
"1215","2013-10-01 00:16:28","2013-10-01 00:36:43","422","W 59 St & 10 Ave","40.770513","-73.988038","521","8 Ave & W 31 St","40.75044999","-73.99481051","20538","Subscriber","1990","2"
"608","2013-10-01 00:16:30","2013-10-01 00:26:38","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","18883","Subscriber","1980","1"
"324","2013-10-01 00:16:34","2013-10-01 00:21:58","482","W 15 St & 7 Ave","40.73935542","-73.99931783","402","Broadway & E 22 St","40.7403432","-73.98955109","19165","Subscriber","1984","1"
"392","2013-10-01 00:16:46","2013-10-01 00:23:18","382","University Pl & E 14 St","40.73492695","-73.99200509","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","14944","Subscriber","1985","1"
"1089","2013-10-01 00:16:56","2013-10-01 00:35:05","532","S 5 Pl & S 4 St","40.710451","-73.960876","344","Monroe St & Bedford Ave","40.6851443","-73.95380904","18902","Subscriber","1985","1"
"934","2013-10-01 00:17:05","2013-10-01 00:32:39","433","E 13 St & Avenue A","40.72955361","-73.98057249","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","17449","Subscriber","1974","2"
"1376","2013-10-01 00:17:13","2013-10-01 00:40:09","473","Rivington St & Chrystie St","40.72110063","-73.9919254","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","20211","Subscriber","1977","2"
"143","2013-10-01 00:17:19","2013-10-01 00:19:42","476","E 31 St & 3 Ave","40.74394314","-73.97966069","472","E 32 St & Park Ave","40.7457121","-73.98194829","18600","Subscriber","1981","1"
"381","2013-10-01 00:17:19","2013-10-01 00:23:40","247","Perry St & Bleecker St","40.73535398","-74.00483091","128","MacDougal St & Prince St","40.72710258","-74.00297088","20335","Subscriber","1974","2"
"1529","2013-10-01 00:17:20","2013-10-01 00:42:49","379","W 31 St & 7 Ave","40.749156","-73.9916","410","Suffolk St & Stanton St","40.72066442","-73.98517977","19215","Subscriber","1974","1"
"246","2013-10-01 00:17:26","2013-10-01 00:21:32","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","515","W 43 St & 10 Ave","40.76009437","-73.99461843","15866","Subscriber","1987","1"
"1963","2013-10-01 00:17:40","2013-10-01 00:50:23","224","Spruce St & Nassau St","40.71146364","-74.00552427","519","Pershing Square N","40.75188406","-73.97770164","17935","Subscriber","1956","1"
"1345","2013-10-01 00:17:44","2013-10-01 00:40:09","79","Franklin St & W Broadway","40.71911552","-74.00666661","293","Lafayette St & E 8 St","40.73028666","-73.9907647","19192","Subscriber","1991","1"
"388","2013-10-01 00:17:56","2013-10-01 00:24:24","329","Greenwich St & N Moore St","40.72043411","-74.01020609","224","Spruce St & Nassau St","40.71146364","-74.00552427","18744","Subscriber","1972","1"
"776","2013-10-01 00:18:25","2013-10-01 00:31:21","482","W 15 St & 7 Ave","40.73935542","-73.99931783","461","E 20 St & 2 Ave","40.73587678","-73.98205027","15803","Subscriber","1993","2"
"560","2013-10-01 00:18:26","2013-10-01 00:27:46","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","19844","Subscriber","1957","1"
"1220","2013-10-01 00:18:30","2013-10-01 00:38:50","223","W 13 St & 7 Ave","40.73781509","-73.99994661","356","Bialystoker Pl & Delancey St","40.71622644","-73.98261206","15203","Subscriber","1983","1"
"466","2013-10-01 00:18:50","2013-10-01 00:26:36","300","Shevchenko Pl & E 6 St","40.728145","-73.990214","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","16333","Subscriber","1989","2"
"387","2013-10-01 00:18:53","2013-10-01 00:25:20","348","W Broadway & Spring St","40.72490985","-74.00154702","417","Barclay St & Church St","40.71291224","-74.01020234","20641","Subscriber","1979","1"
"65","2013-10-01 00:18:58","2013-10-01 00:20:03","423","W 54 St & 9 Ave","40.76584941","-73.98690506","449","W 52 St & 9 Ave","40.76461837","-73.98789473","19459","Subscriber","1974","1"
"244","2013-10-01 00:19:15","2013-10-01 00:23:19","143","Clinton St & Joralemon St","40.69239502","-73.99337909","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","17708","Subscriber","1965","2"
"1367","2013-10-01 00:19:18","2013-10-01 00:42:05","499","Broadway & W 60 St","40.76915505","-73.98191841","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","18740","Subscriber","1981","1"
"322","2013-10-01 00:19:32","2013-10-01 00:24:54","529","W 42 St & 8 Ave","40.7575699","-73.99098507","401","Allen St & Rivington St","40.72019576","-73.98997825","17467","Subscriber","1988","1"
"729","2013-10-01 00:19:36","2013-10-01 00:31:45","450","W 49 St & 8 Ave","40.76227205","-73.98788205","290","2 Ave & E 58 St","40.76020258","-73.96478473","20190","Subscriber","1971","2"
"377","2013-10-01 00:19:44","2013-10-01 00:26:01","474","5 Ave & E 29 St","40.7451677","-73.98683077","475","E 16 St & Irving Pl","40.73524276","-73.98758561","17156","Subscriber","1982","1"
"346","2013-10-01 00:19:44","2013-10-01 00:25:30","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","439","E 4 St & 2 Ave","40.7262807","-73.98978041","19923","Subscriber","1979","1"
"1519","2013-10-01 00:19:47","2013-10-01 00:45:06","448","W 37 St & 10 Ave","40.75660359","-73.9979009","523","W 38 St & 8 Ave","40.75466591","-73.99138152","17574","Subscriber","1977","1"
"1512","2013-10-01 00:19:50","2013-10-01 00:45:02","448","W 37 St & 10 Ave","40.75660359","-73.9979009","523","W 38 St & 8 Ave","40.75466591","-73.99138152","17016","Subscriber","1973","1"
"1253","2013-10-01 00:19:50","2013-10-01 00:40:43","459","W 20 St & 11 Ave","40.746745","-74.007756","341","Stanton St & Mangin St","40.71782143","-73.97628939","15213","Customer",\N,"0"
"424","2013-10-01 00:20:08","2013-10-01 00:27:12","318","E 43 St & Vanderbilt Ave","40.75320159","-73.9779874","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","17345","Subscriber","1958","1"
"476","2013-10-01 00:20:32","2013-10-01 00:28:28","376","John St & William St","40.70862144","-74.00722156","426","West St & Chambers St","40.71754834","-74.01322069","16267","Subscriber","1994","1"
"1347","2013-10-01 00:20:35","2013-10-01 00:43:02","355","Bayard St & Baxter St","40.71602118","-73.99974372","521","8 Ave & W 31 St","40.75044999","-73.99481051","18509","Subscriber","1994","1"
"475","2013-10-01 00:20:38","2013-10-01 00:28:33","376","John St & William St","40.70862144","-74.00722156","426","West St & Chambers St","40.71754834","-74.01322069","19938","Subscriber","1957","1"
"1245","2013-10-01 00:20:52","2013-10-01 00:41:37","447","8 Ave & W 52 St","40.76370739","-73.9851615","345","W 13 St & 6 Ave","40.73649403","-73.99704374","16889","Subscriber","1963","1"
"289","2013-10-01 00:20:52","2013-10-01 00:25:41","447","8 Ave & W 52 St","40.76370739","-73.9851615","499","Broadway & W 60 St","40.76915505","-73.98191841","16145","Subscriber","1966","1"
"417","2013-10-01 00:20:59","2013-10-01 00:27:56","426","West St & Chambers St","40.71754834","-74.01322069","376","John St & William St","40.70862144","-74.00722156","19081","Subscriber","1974","1"
"1822","2013-10-01 00:21:22","2013-10-01 00:51:44","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","346","Bank St & Hudson St","40.73652889","-74.00618026","15850","Customer",\N,"0"
"325","2013-10-01 00:21:23","2013-10-01 00:26:48","476","E 31 St & 3 Ave","40.74394314","-73.97966069","444","Broadway & W 24 St","40.7423543","-73.98915076","17384","Subscriber","1985","1"
"1222","2013-10-01 00:21:32","2013-10-01 00:41:54","345","W 13 St & 6 Ave","40.73649403","-73.99704374","459","W 20 St & 11 Ave","40.746745","-74.007756","17569","Subscriber","1989","1"
"239","2013-10-01 00:21:36","2013-10-01 00:25:35","312","Allen St & E Houston St","40.722055","-73.989111","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","20570","Subscriber","1973","1"
"255","2013-10-01 00:21:51","2013-10-01 00:26:06","479","9 Ave & W 45 St","40.76019252","-73.9912551","450","W 49 St & 8 Ave","40.76227205","-73.98788205","16941","Subscriber","1991","2"
"724","2013-10-01 00:22:14","2013-10-01 00:34:18","346","Bank St & Hudson St","40.73652889","-74.00618026","265","Stanton St & Chrystie St","40.72229346","-73.99147535","16548","Subscriber","1980","1"
"178","2013-10-01 00:22:36","2013-10-01 00:25:34","241","DeKalb Ave & S Portland Ave","40.68981035","-73.97493121","526","E 33 St & 5 Ave","40.74765947","-73.98490707","15388","Subscriber","1975","1"
"1489","2013-10-01 00:23:05","2013-10-01 00:47:54","402","Broadway & E 22 St","40.7403432","-73.98955109","389","Broadway & Berry St","40.71044554","-73.96525063","19210","Subscriber","1981","2"
"642","2013-10-01 00:23:26","2013-10-01 00:34:08","127","Barrow St & Hudson St","40.73172428","-74.00674436","328","Watts St & Greenwich St","40.72405549","-74.00965965","20123","Subscriber","1963","1"
"1033","2013-10-01 00:23:30","2013-10-01 00:40:43","518","E 39 St & 2 Ave","40.74780373","-73.9734419","526","E 33 St & 5 Ave","40.74765947","-73.98490707","15881","Customer",\N,"0"
"524","2013-10-01 00:23:31","2013-10-01 00:32:15","471","Grand St & Havemeyer St","40.71286844","-73.95698119","532","S 5 Pl & S 4 St","40.710451","-73.960876","19127","Subscriber","1979","1"
"1682","2013-10-01 00:23:43","2013-10-01 00:51:45","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","346","Bank St & Hudson St","40.73652889","-74.00618026","19051","Customer",\N,"0"
"1629","2013-10-01 00:24:01","2013-10-01 00:51:10","473","Rivington St & Chrystie St","40.72110063","-73.9919254","467","Dean St & 4 Ave","40.68312489","-73.97895137","19755","Subscriber","1969","1"
